date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:35	88890/88890	---M--	200	added ('OK')	text/html	etag:%2215b3a-57e02a06bb180%22	http://html.codedthemes.com/datta-able/bootstrap/default/index.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/index.html	(from )
18:15:37	208/208	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Mar%202019%2023:15:35%20GMT	http://html.codedthemes.com/robots.txt		(from )
18:15:39	41065/41065	---M--	200	added ('OK')	text/css	etag:%22a069-57bbba6f92580%22	http://html.codedthemes.com/datta-able/bootstrap/assets/fonts/fontawesome/css/fontawesome-all.min.css	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/assets/fonts/fontawesome/css/fontawesome-all.min.css	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:15:39	57902/57902	---M--	200	added ('OK')	text/css	etag:%22e22e-57bbba754b300%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/animation/css/animate.min.css	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/assets/plugins/animation/css/animate.min.css	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:15:41	1440/1440	---M--	200	added ('OK')	text/css	etag:%225a0-57bbba7cec500%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/notification/css/notification.min.css	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/assets/plugins/notification/css/notification.min.css	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:15:45	340587/340587	---M--	200	added ('OK')	text/css	etag:%225326b-57e0219d55900%22	http://html.codedthemes.com/datta-able/bootstrap/assets/css/style.css	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/assets/css/style.css	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:15:46	86389/86389	---M--	200	added ('OK')	text/html	etag:%2215175-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-ecommerce.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/dashboard-ecommerce.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:15:47	107656/107656	---M--	200	added ('OK')	text/html	etag:%221a488-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crm.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/dashboard-crm.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:15:49	77826/77826	---M--	200	added ('OK')	text/html	etag:%2213002-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-analytics.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/dashboard-analytics.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:15:51	71576/71576	---M--	200	added ('OK')	text/html	etag:%2211798-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:15:53	96797/96797	---M--	200	added ('OK')	text/html	etag:%2217a1d-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-project.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/dashboard-project.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:15:55	124285/124285	---M--	200	added ('OK')	text/html	etag:%221e57d-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/layout-static.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/layout-static.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:15:57	124589/124589	---M--	200	added ('OK')	text/html	etag:%221e6ad-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/layout-fixed.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/layout-fixed.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:15:59	123599/123599	---M--	200	added ('OK')	text/html	etag:%221e2cf-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/layout-menu-fixed.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/layout-menu-fixed.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:01	124274/124274	---M--	200	added ('OK')	text/html	etag:%221e572-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/layout-mini-menu.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/layout-mini-menu.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:03	126958/126958	---M--	200	added ('OK')	text/html	etag:%221efee-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/layout-horizontal.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/layout-horizontal.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:05	124066/124066	---M--	200	added ('OK')	text/html	etag:%221e4a2-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/layout-box.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/layout-box.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:07	124050/124050	---M--	200	added ('OK')	text/html	etag:%221e492-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/layout-rtl.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/layout-rtl.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:09	232773/232773	---M--	200	added ('OK')	text/html	etag:%2238d45-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/layout-light.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/layout-light.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:11	124719/124719	---M--	200	added ('OK')	text/html	etag:%221e72f-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/layout-dark.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/layout-dark.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:13	124666/124666	---M--	200	added ('OK')	text/html	etag:%221e6fa-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/layout-menu-icon.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/layout-menu-icon.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:15	183702/183702	---M--	200	added ('OK')	text/html	etag:%222cd96-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/widget-statistic.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/widget-statistic.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:17	108663/108663	---M--	200	added ('OK')	text/html	etag:%221a877-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/widget-data.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/widget-data.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:19	134960/134960	---M--	200	added ('OK')	text/html	etag:%2220f30-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/widget-table.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/widget-table.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:21	87896/87896	---M--	200	added ('OK')	text/html	etag:%2215758-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/widget-user-card.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/widget-user-card.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:23	148332/148332	---M--	200	added ('OK')	text/html	etag:%222436c-57e02a7743b00%22	http://html.codedthemes.com/datta-able/bootstrap/default/widget-chart.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/widget-chart.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:25	66999/66999	---M--	200	added ('OK')	text/html	etag:%22105b7-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_alert.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_alert.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:27	139619/139619	---M--	200	added ('OK')	text/html	etag:%2222163-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_button.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_button.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:29	62269/62269	---M--	200	added ('OK')	text/html	etag:%22f33d-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_badges.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_badges.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:31	67966/67966	---M--	200	added ('OK')	text/html	etag:%221097e-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_breadcrumb-pagination.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_breadcrumb-pagination.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:33	82303/82303	---M--	200	added ('OK')	text/html	etag:%221417f-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_card.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_card.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:35	65224/65224	---M--	200	added ('OK')	text/html	etag:%22fec8-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_collapse.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_collapse.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:37	68455/68455	---M--	200	added ('OK')	text/html	etag:%2210b67-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_carousel.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_carousel.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:39	158667/158667	---M--	200	added ('OK')	text/html	etag:%2226bcb-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_grid.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_grid.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:41	67221/67221	---M--	200	added ('OK')	text/html	etag:%2210695-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_progress.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_progress.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:43	84406/84406	---M--	200	added ('OK')	text/html	etag:%22149b6-57e02b824b100%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_modal.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_modal.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:45	67772/67772	---M--	200	added ('OK')	text/html	etag:%22108bc-57e02e84dcb00%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_spinner.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_spinner.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:47	70214/70214	---M--	200	added ('OK')	text/html	etag:%2211246-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_tabs.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_tabs.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:49	73077/73077	---M--	200	added ('OK')	text/html	etag:%2211d75-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_typography.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_typography.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:51	59294/59294	---M--	200	added ('OK')	text/html	etag:%22e79e-57e02c9e7cf80%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_tooltip-popover.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_tooltip-popover.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:53	74357/74357	---M--	200	added ('OK')	text/html	etag:%2212275-57e02ecd57600%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_toasts.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_toasts.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:55	68166/68166	---M--	200	added ('OK')	text/html	etag:%2210a46-57e02b26bd900%22	http://html.codedthemes.com/datta-able/bootstrap/default/bc_extra.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/bc_extra.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:57	59605/59605	---M--	200	added ('OK')	text/html	etag:%22e8d5-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/ac_alert.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/ac_alert.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:16:59	62327/62327	---M--	200	added ('OK')	text/html	etag:%22f377-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/ac-datepicker-componant.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/ac-datepicker-componant.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:17:01	64213/64213	---M--	200	added ('OK')	text/html	etag:%22fad5-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/ac_gridstack.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/ac_gridstack.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:17:03	71951/71951	---M--	200	added ('OK')	text/html	etag:%221190f-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/ac_lightbox.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/ac_lightbox.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:17:05	76703/76703	---M--	200	added ('OK')	text/html	etag:%2212b9f-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/ac_modal.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/ac_modal.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:17:07	63330/63330	---M--	200	added ('OK')	text/html	etag:%22f762-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/ac_notification.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/ac_notification.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:17:09	67878/67878	---M--	200	added ('OK')	text/html	etag:%2210926-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/ac_nestable.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/ac_nestable.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
18:17:11	79237/79237	---M--	200	added ('OK')	text/html	etag:%2213585-57e02a886e380%22	http://html.codedthemes.com/datta-able/bootstrap/default/ac_pnotify.html	C:/xampp2/htdocs/gesacafrontend/dattable/html.codedthemes.com/datta-able/bootstrap/default/ac_pnotify.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/index.html)
