date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:38	69573/69573	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2017:36:37%20GMT	http://laravel.coderthemes.com/ubold/vertical/dashboard-2	C:/xampp2/htdocs/gesacafrontend/ubold/laravel.coderthemes.com/ubold/vertical/dashboard-2.html	(from )
12:48:39	177/177	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202019%2017:36:38%20GMT	http://laravel.coderthemes.com/robots.txt		(from )
12:48:40	115041/115041	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2004%20Mar%202019%2010:03:20%20GMT	http://laravel.coderthemes.com/ubold/vertical/assets/images/favicon.ico	C:/xampp2/htdocs/gesacafrontend/ubold/laravel.coderthemes.com/ubold/vertical/assets/images/favicon.ico	(from http://laravel.coderthemes.com/ubold/vertical/dashboard-2)
12:48:40	727/727	---MCZ	200	added ('OK')	text/css	date:Mon,%2004%20Mar%202019%2010:05:46%20GMT	http://laravel.coderthemes.com/ubold/vertical/assets/libs/jquery-vectormap/jquery-vectormap.min.css	C:/xampp2/htdocs/gesacafrontend/ubold/laravel.coderthemes.com/ubold/vertical/assets/libs/jquery-vectormap/jquery-vectormap.min.css	(from http://laravel.coderthemes.com/ubold/vertical/dashboard-2)
12:48:42	202739/202739	---MCZ	200	added ('OK')	text/css	date:Mon,%2004%20Mar%202019%2010:02:56%20GMT	http://laravel.coderthemes.com/ubold/vertical/assets/css/bootstrap.min.css	C:/xampp2/htdocs/gesacafrontend/ubold/laravel.coderthemes.com/ubold/vertical/assets/css/bootstrap.min.css	(from http://laravel.coderthemes.com/ubold/vertical/dashboard-2)
12:48:43	103425/103425	---MCZ	200	added ('OK')	text/css	date:Mon,%2004%20Mar%202019%2017:29:31%20GMT	http://laravel.coderthemes.com/ubold/vertical/assets/css/app.min.css	C:/xampp2/htdocs/gesacafrontend/ubold/laravel.coderthemes.com/ubold/vertical/assets/css/app.min.css	(from http://laravel.coderthemes.com/ubold/vertical/dashboard-2)
12:48:44	338447/338447	---MCZ	200	added ('OK')	text/css	date:Mon,%2004%20Mar%202019%2010:02:56%20GMT	http://laravel.coderthemes.com/ubold/vertical/assets/css/icons.min.css	C:/xampp2/htdocs/gesacafrontend/ubold/laravel.coderthemes.com/ubold/vertical/assets/css/icons.min.css	(from http://laravel.coderthemes.com/ubold/vertical/dashboard-2)
12:48:44	75477/75477	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2017:36:43%20GMT	http://laravel.coderthemes.com/ubold/vertical/index	C:/xampp2/htdocs/gesacafrontend/ubold/laravel.coderthemes.com/ubold/vertical/index.html	(from http://laravel.coderthemes.com/ubold/vertical/dashboard-2)
12:48:45	5566/5566	---M--	200	added ('OK')	image/jpeg	etag:%225c7cf890-15be%22	http://laravel.coderthemes.com/ubold/vertical/assets/images/users/user-4.jpg	C:/xampp2/htdocs/gesacafrontend/ubold/laravel.coderthemes.com/ubold/vertical/assets/images/users/user-4.jpg	(from http://laravel.coderthemes.com/ubold/vertical/dashboard-2)
12:48:45	6109/6109	---M--	200	added ('OK')	image/jpeg	etag:%225c7cf891-17dd%22	http://laravel.coderthemes.com/ubold/vertical/assets/images/users/user-1.jpg	C:/xampp2/htdocs/gesacafrontend/ubold/laravel.coderthemes.com/ubold/vertical/assets/images/users/user-1.jpg	(from http://laravel.coderthemes.com/ubold/vertical/dashboard-2)
12:48:45	68407/68407	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2017:36:44%20GMT	http://laravel.coderthemes.com/ubold/vertical/dashboard-3	C:/xampp2/htdocs/gesacafrontend/ubold/laravel.coderthemes.com/ubold/vertical/dashboard-3.html	(from http://laravel.coderthemes.com/ubold/vertical/dashboard-2)
12:48:46	74155/74155	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202019%2017:36:45%20GMT	http://laravel.coderthemes.com/ubold/vertical/dashboard-4	C:/xampp2/htdocs/gesacafrontend/ubold/laravel.coderthemes.com/ubold/vertical/dashboard-4.html	(from http://laravel.coderthemes.com/ubold/vertical/dashboard-2)
